Colegios;Venta_2022;Espacios_verdes;Hospital_publico;Hospital_privado;Centro_salud_publico;Centro_salud_privado;Institutos;Gimnasio;Biblioteca;Cine;Museo;Restaurante;Supermercado;Metro;Bus
1;3545;0;0;0;0;0;0;0;1;0;1;1;1;1;1
1;3393;0;0;0;1;0;0;0;1;0;1;1;1;1;1
1;2577;1;0;0;0;0;0;0;1;0;1;0;1;1;1
1;2533;0;0;0;0;0;0;1;0;0;1;0;1;1;1
1;2757;0;0;0;0;0;0;0;1;0;1;1;1;1;1
1;3417;1;0;0;0;0;0;1;1;1;1;1;1;1;1
1;2738;0;0;1;1;0;0;1;1;1;1;1;1;1;1
1;4029;0;0;0;0;0;0;1;1;1;0;1;1;1;1
1;3237;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1;2410;1;0;0;0;0;0;0;1;0;1;1;1;1;1
1;3044;0;0;0;0;0;0;1;0;1;0;0;1;1;1
1;2238;1;0;0;1;0;0;1;1;1;0;1;1;1;1
1;2263;1;0;0;1;0;0;1;1;1;1;1;1;1;1
1;2304;1;0;0;0;0;0;1;0;1;0;1;1;1;1
1;1626;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1;1808;1;0;0;0;0;0;0;0;0;0;1;1;1;1
0;3032;1;1;1;1;0;0;1;1;0;0;1;1;1;1
1;1877;0;0;0;0;0;0;1;1;0;1;0;1;1;1
1;1850;0;0;0;0;0;0;1;0;0;1;1;0;1;1
1;2699;0;0;0;1;0;0;0;1;0;1;0;1;1;1
1;1550;0;0;0;1;0;0;1;0;0;0;0;1;1;1
1;1709;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1;3342;0;0;1;0;0;0;1;1;0;0;0;1;1;1
1;2907;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1;2772;0;0;0;0;0;0;1;0;0;0;0;1;1;1
1;2395;0;1;0;0;0;0;1;1;0;0;0;0;1;1
1;1617;0;0;0;1;0;0;1;0;1;0;1;1;1;1
1;1631;0;0;0;0;0;0;0;0;0;1;0;1;1;1
1;1332;0;0;0;0;0;0;0;1;1;0;0;0;1;1
1;1103;0;1;0;1;0;0;0;1;0;0;0;0;1;1
1;1322;0;0;0;0;0;0;1;0;0;0;0;0;1;1
1;1918;1;0;0;0;0;0;1;1;0;0;1;1;1;1
1;1655;1;0;0;1;0;0;1;0;0;0;0;0;1;1
1;1616;1;0;0;0;0;0;1;0;0;0;0;1;1;1
1;1791;1;0;0;0;0;0;0;0;0;0;0;0;1;1
1;1550;0;1;0;0;0;0;0;0;0;0;1;0;1;1
1;1796;0;0;1;0;0;0;1;1;0;0;0;1;1;1
1;1474;0;0;0;1;0;0;1;0;1;0;1;1;1;1
1;1545;0;0;0;0;0;0;1;0;0;0;0;1;1;1
1;1441;1;0;0;1;0;0;0;0;0;0;0;1;0;0
1;1261;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1886;0;0;0;1;0;0;1;0;0;1;0;1;0;0
1;1950;1;0;0;0;0;0;0;0;0;0;0;1;1;1
1;1999;1;1;0;1;0;0;1;1;0;0;0;1;0;0
1;1370;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1501;1;0;0;1;0;0;0;1;0;0;0;0;0;0
0;1967;0;0;0;0;0;0;0;0;0;0;1;1;0;0
1;2638;1;0;0;0;0;0;1;1;1;1;1;1;0;0
0;1969;0;0;0;0;0;0;1;1;0;1;1;1;0;0
0;2094;0;0;0;1;0;0;1;1;0;1;1;1;1;1
0;1820;0;1;0;1;0;0;1;1;0;1;1;1;1;1
1;2099;0;0;0;0;0;0;1;0;0;0;1;0;1;1
0;1161;0;0;0;1;0;0;0;1;0;0;0;1;0;0
1;1894;1;0;0;0;0;0;1;1;0;1;0;1;1;1
1;1864;1;0;1;1;0;0;1;0;0;0;0;1;1;1
1;1856;0;0;0;1;0;0;1;1;0;0;0;1;1;1
1;1893;0;0;0;0;0;0;1;0;0;0;0;1;1;1
1;3429;0;0;0;0;0;0;1;0;1;0;1;1;1;1
1;2094;0;0;0;1;0;0;0;0;0;0;0;1;1;1
1;2118;0;0;0;0;0;0;1;0;0;0;0;1;1;1
1;1946;0;0;0;1;0;0;0;1;0;0;0;1;1;1
1;2221;0;0;0;0;0;0;1;1;0;0;0;1;1;1
1;2566;0;0;0;0;0;0;1;1;0;1;0;1;1;1
1;2039;1;0;0;1;0;0;1;1;1;1;0;1;1;1
1;2068;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1;1170;1;0;0;0;0;0;1;1;0;0;0;1;1;1
1;1428;1;0;0;1;0;0;1;1;0;0;1;1;1;1
1;2594;0;0;0;0;0;0;1;0;0;0;0;1;1;1
1;1602;1;0;0;1;0;0;1;1;1;0;1;1;1;1
1;1301;1;0;0;0;0;0;1;1;0;1;1;1;1;1
